"CLASS 
NUMBER",DEPARTMENT,COURSE TITLE,SUBJECT,"CATALOG
 NO.",SECTION,COMPONENT,SCHEDULE,LEARNING DELIVERY MODE,ROOM ASSIGNMENT,INSTRUCTOR,"CLASS 
CAPACITY",TOTAL NUMBER OF ENROLLEES,RESTRICTIONS
20206,DAC,Intercultural Communication,OR COM,107,MHE,LEC,01:00 PM - 02:30 PM MTH,,TBA,TBA,27,0,FOR 2ND YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20207,DAC,Intercultural Communication,OR COM,107,MHG,LEC,02:30 PM - 04:00 PM MTH,,TBA,TBA,27,0,FOR 2ND YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20208,DAC,Introduction to Organizational Theories,OR COM,140,TFA,LEC,07:00 AM - 08:30 AM TF,,TBA,TBA,27,0,FOR 2ND YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20209,DAC,Introduction to Organizational Theories,OR COM,140,TFB,LEC,08:30 AM - 10:00 AM TF,,TBA,TBA,27,0,FOR 2ND YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20260,DAC,Communication Trends and Styles,OR COM,152,MHD,LEC,11:30 AM - 01:00 PM MTH,,TBA,TBA,27,0,FOR 3RD YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20261,DAC,Communication Trends and Styles,OR COM,152,MHE,LEC,01:00 PM - 02:30 PM MTH,,TBA,TBA,27,0,FOR 3RD YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20266,DAC,Communication Strategies,OR COM,153,SBD,LEC,09:00 AM - 12:00 PM S,,TBA,TBA,27,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20267,DAC,Communication Strategies,OR COM,153,SEG,LEC,01:00 PM - 04:00 PM S,,TBA,TBA,27,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20268,DAC,Organizational Communication Research,OR COM,199,TFA1,LEC,07:00 AM - 08:30 AM TF,,TBA,TBA,12,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20269,DAC,Organizational Communication Research,OR COM,199,TFA2,LEC,07:00 AM - 08:30 AM TF,,TBA,TBA,12,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20270,DAC,Organizational Communication Research,OR COM,199,TFB1,LEC,08:30 AM - 10:00 AM TF,,TBA,TBA,12,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20271,DAC,Organizational Communication Research,OR COM,199,TFB2,LEC,08:30 AM - 10:00 AM TF,,TBA,TBA,12,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20152,DAC,Philippine Arts and Culture,PHILARTS,   1,MHG,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20153,DAC,Philippine Arts and Culture,PHILARTS,   1,TFD,LEC,11:30 AM - 01:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20154,DAC,Philippine Arts and Culture,PHILARTS,   1,TFE,LEC,01:00 PM - 02:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20155,DAC,Philippine Arts and Culture,PHILARTS,   1,TFG,LEC,02:30 PM - 04:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20287,DAC,Art in Post Disaster Management,PHILARTS,134,TFA,LEC,07:00 AM - 08:30 AM TF,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
18984,DAC,Introduction to Cultural Heritage Studies,PHILARTS,150,TFE,LEC,01:00 PM - 02:30 PM TF,,TBA,TBA,20,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18985,DAC,Introduction to Cultural Heritage Studies,PHILARTS,150,TFG,LEC,02:30 PM - 04:00 PM TF,,TBA,TBA,20,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
20280,DAC,Theories and Approaches to the Arts I,PHILARTS,101,MHE,LEC,01:00 PM - 02:30 PM MTH,,TBA,TBA,25,0,FOR 3RD YEAR BA PHILIPPINE ARTS ONLY
20285,DAC,"Frames, Models and Paradigms in Philippine Arts and Culture",PHILARTS,104,MHC,LEC,10:00 AM - 11:30 AM MTH,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
18976,DAC,Philippine Indigenous and Ethnic Arts,PHILARTS,110,MHD,LEC,11:30 AM - 01:00 PM MTH,,TBA,TBA,20,10,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18977,DAC,Philippine Indigenous and Ethnic Arts,PHILARTS,110,MHE,LEC,01:00 PM - 02:30 PM MTH,,TBA,TBA,20,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
20277,DAC,The Anglo-American Tradition in the Philippine Arts,PHILARTS,112,MHE,LEC,01:00 PM - 02:30 PM MTH,,TBA,TBA,25,0,FOR 2ND YEAR BA PHILIPPINE ARTS ONLY
18980,DAC,Philippine Theater,PHILARTS,120,TFB,LEC,08:30 AM - 10:00 AM TF,,TBA,TBA,20,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18981,DAC,Philippine Theater,PHILARTS,120,TFC,LEC,10:00 AM - 11:30 AM TF,,TBA,TBA,20,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18982,DAC,Philippine Theater,PHILARTS,120,TFD1,LEC,11:30 AM - 01:00 PM TF,,TBA,TBA,25,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18983,DAC,Philippine Theater,PHILARTS,120,TFD2,LEC,11:30 AM - 01:00 PM TF,,TBA,TBA,25,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
20278,DAC,Philippine Poetic Forms,PHILARTS,121,MHD,LEC,11:30 AM - 01:00 PM MTH,,TBA,TBA,25,0,FOR 2ND YEAR BA PHILIPPINE ARTS ONLY
20282,DAC,Philippine Cinematic Arts,PHILARTS,129,TFE,LEC,01:00 PM - 02:30 PM TF,,TBA,TBA,25,0,FOR 3RD YEAR BA PHILIPPINE ARTS ONLY
20281,DAC,Organizational Development for the Arts,PHILARTS,130,MHC,LEC,10:00 AM - 11:30 AM MTH,,TBA,TBA,25,0,FOR 3RD YEAR BA PHILIPPINE ARTS ONLY
20286,DAC,Marketing Strategies and Promotion for the Arts,PHILARTS,132,TFB,LEC,08:30 AM - 10:00 AM TF,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
20283,DAC,The Arts and Popular Culture,PHILARTS,141,MHI,LEC,04:00 PM - 05:30 PM MTH,,TBA,TBA,25,0,FOR 3RD YEAR BA PHILIPPINE ARTS ONLY
20288,DAC,Arts Project Management,PHILARTS,165,MGI,LEC,02:30 PM - 05:30 PM M,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
20289,DAC,Seminar On Selected Topics,PHILARTS,198,MHD,LEC,11:30 AM - 01:00 PM MTH,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
20290,DAC,Research Methods in Philippine Arts,PHILARTS,199,TFC,LEC,10:00 AM - 11:30 AM TF,,TBA,TBA,25,0,FOR 4TH YEAR BA PHILIPPINE ARTS ONLY
20274,DAC,Elementary Course,SPANISH,1,MHG,LEC,02:30 PM - 04:00 PM MTH,,TBA,TBA,25,0,FOR 2ND YEAR BA PHILIPPINE ARTS ONLY
20275,DAC,Elementary Course II,SPANISH,2,TFG,LEC,02:30 PM - 04:00 PM TF,,TBA,TBA,25,0,FOR 2ND YEAR BA PHILIPPINE ARTS ONLY
20279,DAC,Readings in Spanish,SPANISH,20,TFI,LEC,04:00 PM - 05:30 PM TF,,TBA,TBA,25,0,FOR 3RD YEAR BA PHILIPPINE ARTS ONLY
20272,DAC,Argumentation,SPEECH,133,MHB,LEC,08:30 AM - 10:00 AM MTH,,TBA,TBA,27,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
20273,DAC,Argumentation,SPEECH,133,MHC,LEC,10:00 AM - 11:30 AM MTH,,TBA,TBA,27,0,FOR 4TH YEAR BA ORGANIZATIONAL COMMUNICATION ONLY
18855,DAC,"Wika⹁ Kultura at Lipunan",WIKA,   1,MHA,LEC,07:00 AM - 08:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,16,FOR FRESHMEN BA DEVELOPMENT STUDIES ONLY
18856,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHB1,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,15,FOR FRESHMEN BA DEVELOPMENT STUDIES ONLY
19239,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHB2,LEC,08:30 AM - 10:00 AM M,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,FRESHMAN BSSP (18)
19240,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHB3,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,21,FRESHMAN BSSP (18)
19241,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHC1,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,"FRESHMAN DDM (16, 17)"
20156,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHC2,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
19087,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHD1,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,FOR FRESHMEN BS COMPUTER SCIENCE ONLY
19088,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHD2,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,FOR FRESHMEN BS COMPUTER SCIENCE ONLY
20157,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHD3,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20158,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHE1,LEC,01:00 PM - 02:30 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20159,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHE2,LEC,01:00 PM - 02:30 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
18978,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHG1,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
18979,DAC,"Wika, Kultura at Lipunan",WIKA,   1,MHG2,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,12,FOR FRESHMEN BA PHILIPPINE ARTS ONLY
19021,DAC,"Wika, Kultura at Lipunan",WIKA,   1,TFI1,LEC,04:00 PM - 05:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,14,FOR FRESHMEN BA SOCIAL SCIENCES (AREA ST) ONLY
19022,DAC,"Wika, Kultura at Lipunan",WIKA,   1,TFI2,LEC,04:00 PM - 05:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,13,FOR FRESHMEN BA SOCIAL SCIENCES (AREA ST) ONLY
